"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","11","1057","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","11","4","4","1","5.365942","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","11","2","2","1","3.136671","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","11","2","2","1","2.943751","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","11","30","4","1","73.204330","0","485"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","4","4","1","4.864358","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","2","2","1","2.242223","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","2","2","1","1.967838","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","11","33","1","1","49.268581","0","593"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","11","4","1","1","2.232255","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","11","8","1","1","4.229765","0","43"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","28","1","1","32.560307","0","433"
"/Engine/VREditor/TransformGizmo/Main.Main","11","2","2","1","1.329610","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","2","2","1","1.307304","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","56","1","1","64.284500","0","1644"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","11","6","1","1","2.500890","0","26"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","11","2","2","1","1.043846","0","3"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","11","8","1","1","5.128860","0","43"
"/Game/StarterContent/Materials/M_Glass.M_Glass","11","44","1","1","30.044632","0","985"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","11","70","1","1","81.696693","0","2419"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","11","70","2","1","85.964417","0","783"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","11","70","2","1","85.291084","0","425"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","11","2","2","1","1.043302","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","11","56","1","1","68.945740","0","296"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","11","98","22","1","88.089828","0","904"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","11","2","2","1","1.304264","0","2"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","11","98","1","1","110.664856","0","699"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","11","70","22","1","107.066635","0","420"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","11","98","1","1","115.891182","0","680"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","11","70","1","1","79.150650","0","333"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","11","98","1","1","115.217911","0","472"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","11","98","1","1","115.959862","0","652"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","11","98","1","1","0.000000","0","641"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","11","56","1","1","66.029976","0","295"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","11","2","2","1","1.293217","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","24","2","2","16.388592","0","93"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","11","4","4","1","2.204231","0","5"
"/ControlRig/M_Manip.M_Manip","11","4","1","1","2.240247","0","10"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","1.118328","0","3"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","11","4","4","1","1.881980","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","26","9","6","15.416855","0","59"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","11","6","1","1","2.755356","0","16"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","11","105","1","1","62.830956","0","540"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","11","350","1","1","442.311981","0","4278"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","11","1004","1","1","1122.989746","0","27088"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","11","34","1","1","37.503521","0","114"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","11","12","12","1","7.071011","0","12"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","11","70","1","1","84.448143","0","263"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","11","44","1","1","31.178524","0","152"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","11","70","1","1","84.965080","0","341"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","11","6","1","1","3.659012","0","17"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","11","42","1","1","28.552252","0","195"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","11","70","1","1","85.702782","0","320"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","11","70","1","1","85.215340","0","377"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","11","70","1","1","87.883331","0","460"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","11","70","1","1","90.199112","0","425"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","11","70","1","1","84.449036","0","450"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","11","70","1","1","84.988937","0","427"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","11","70","1","1","85.549019","0","460"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","11","70","1","1","84.565422","0","363"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","11","70","1","1","88.520943","0","401"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","11","70","1","1","84.324097","0","381"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","11","70","1","1","83.404037","0","362"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","11","70","1","1","84.489899","0","434"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","11","70","1","1","82.806694","0","335"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","11","70","1","1","84.570221","0","373"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","11","70","1","1","84.570435","0","331"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","11","70","1","1","82.442932","0","342"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","11","70","1","1","83.622055","0","320"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","11","70","1","1","82.417885","0","389"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","11","70","1","1","83.061432","0","387"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","11","70","1","1","86.161407","0","339"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","11","70","1","1","83.721260","0","340"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","11","70","1","1","83.414940","0","328"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","11","70","1","1","83.097534","0","383"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","11","6","6","1","4.040552","0","7"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","11","6","1","1","4.335145","0","21"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","11","56","1","1","33.440990","0","344"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","11","70","1","1","83.209686","0","328"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","11","70","1","1","83.663506","0","351"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","11","70","1","1","87.219452","0","407"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","11","70","1","1","84.186958","0","311"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","11","70","1","1","87.663063","0","308"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","11","70","1","1","85.121262","0","368"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","11","70","1","1","85.086014","0","314"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","11","70","1","1","83.395988","0","356"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","11","70","1","1","83.770370","0","308"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","11","70","1","1","83.475151","0","328"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","11","70","1","1","83.886948","0","346"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","11","76","1","1","86.940277","0","471"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","11","12","12","1","6.945621","0","12"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","11","70","1","1","85.934128","0","409"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","11","70","1","1","87.315369","0","355"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","11","70","2","1","84.134567","0","390"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","11","70","1","1","84.931351","0","404"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","11","70","1","1","85.476974","0","426"
"/Game/target_decal_material.target_decal_material","11","17","1","1","10.664614","0","50"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","11","4","4","1","1.760041","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","11","4","4","1","1.714255","0","4"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","11","6","6","1","2.467793","0","6"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","11","70","1","1","83.715530","0","369"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","11","70","1","1","88.278313","0","431"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","11","70","1","1","87.093590","0","298"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","11","70","1","1","85.538445","0","299"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","11","8","1","1","6.189073","0","25"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","11","8","1","1","0.000000","0","25"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","11","70","1","1","86.980042","0","302"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","11","70","1","1","85.872360","0","354"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","11","4","4","2","2.146620","0","5"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","11","14","1","1","9.098163","0","51"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","11","2","2","1","1.239356","0","3"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","11","98","1","1","36.378586","0","633"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","11","4","4","1","2.884568","0","5"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","11","14","1","1","8.755144","0","43"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","11","68","1","1","77.732002","0","312"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","11","70","1","1","79.359703","0","372"
"/Game/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","11","112","23","2","226.270569","0","417"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","11","210","3","3","383.445282","0","1382"
"/Interchange/gltf/M_Unlit.M_Unlit","11","26","12","6","17.568178","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","11","68","1","1","94.808113","0","308"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","11","152","1","1","236.129730","0","1145"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","11","154","6","6","271.292725","0","483"
"/Interchange/gltf/M_Transmission.M_Transmission","11","32","2","2","58.694023","0","106"
"/Interchange/gltf/M_Sheen.M_Sheen","11","154","19","6","328.013428","0","537"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","11","154","13","6","320.242432","0","518"
"/Interchange/gltf/M_Default.M_Default","11","154","44","6","285.519775","0","428"
